BER,IBER,NIBER,IBN,NIBN,PSNR,SSIM
0.001,0.0,0.0,0,0,43.74033,0.985383
0.002,0.0032,0.0,1,0,41.567959,0.984265
0.003,0.0032,0.0,1,0,24.216313,0.923828
0.004,0.0095,0.0,3,0,25.739498,0.954307
0.005,0.0,0.0,0,0,43.74033,0.985383
0.006,0.0063,0.0,2,0,31.477548,0.972842
0.007,0.0032,0.0,1,0,32.588395,0.973606
0.008,0.019,0.0,6,0,23.691594,0.914877
0.009,0.0063,0.0,2,0,26.668483,0.958957
0.01,0.0127,0.0,4,0,28.204275,0.952501
0.011,0.0032,0.0,1,0,26.926591,0.954469
0.012,0.0095,0.0,3,0,28.824993,0.955824
0.013,0.0159,0.0,5,0,25.184947,0.938072
0.014,0.0127,0.0,4,0,22.043041,0.916385
0.015,0.0222,0.0,7,0,24.070148,0.915899
0.016,0.0127,0.0,4,0,26.233826,0.950872
0.017,0.0159,0.0,5,0,28.829333,0.9526
0.018,0.019,0.0,6,0,25.644811,0.935902
0.019,0.0159,0.0,5,0,30.228636,0.966124
0.02,0.0222,0.0,7,0,25.509283,0.926822
0.021,0.019,0.0,6,0,23.260909,0.9118
0.022,0.0254,0.0,8,0,22.94564,0.905922
0.023,0.0381,0.0,12,0,22.302353,0.900075
0.024,0.0222,0.0,7,0,22.897262,0.902078
0.025,0.0254,0.0,8,0,24.668133,0.915423
0.026,0.019,0.0,6,0,24.389572,0.929182
0.027,0.0286,0.0,9,0,24.207509,0.916767
0.028,0.0286,0.0,9,0,26.644357,0.947681
0.029,0.0476,0.0,15,0,22.689356,0.890174
0.03,0.0381,0.0,12,0,20.310525,0.865775
0.031,0.0413,0.0,13,0,24.503204,0.91433
0.032,0.0317,0.0,10,0,24.469189,0.912302
0.033,0.0286,0.0,9,0,22.248006,0.885918
0.034,0.0349,0.0,11,0,23.463275,0.906024
0.035,0.0317,0.0,10,0,22.205144,0.895371
0.036,0.0286,0.0,9,0,24.424447,0.924792
0.037,0.054,0.0,17,0,22.391825,0.906794
0.038,0.0317,0.0,10,0,24.204607,0.918051
0.039,0.0476,0.0,15,0,20.730989,0.87374
0.04,0.054,0.0,17,0,22.982402,0.904314
0.041,0.0286,0.0,9,0,23.842456,0.903213
0.042,0.0444,0.0,14,0,20.444256,0.907529
0.043,0.0857,0.0,27,0,22.134097,0.883977
0.044,0.0667,0.0,21,0,20.493411,0.886278
0.045,0.0508,0.0,16,0,19.659677,0.902828
0.046,0.054,0.0,17,0,23.804521,0.901234
0.047,0.0444,0.0,14,0,24.159281,0.91239
0.048,0.0476,0.0,15,0,23.751582,0.908117
0.049,0.0444,0.0,14,0,21.720047,0.879781
0.05,0.0571,0.0,18,0,23.015567,0.904215
0.051,0.0476,0.0,15,0,23.538974,0.908477
0.052,0.0635,0.0,20,0,23.929207,0.912118
0.053,0.0476,0.0,15,0,23.513833,0.902242
0.054,0.0476,0.0,15,0,22.529992,0.895736
0.055,0.0794,0.0,25,0,23.049049,0.892243
0.056,0.0476,0.0,15,0,23.256998,0.896264
0.057,0.0571,0.0,18,0,23.279849,0.900095
0.058,0.0413,0.0,13,0,23.778299,0.907163
0.059,0.0571,0.0,18,0,24.583636,0.910822
0.06,0.0603,0.0,19,0,23.183922,0.902184
0.061,0.0413,0.0,13,0,24.765064,0.914437
0.062,0.054,0.0,17,0,23.697777,0.903527
0.063,0.0794,0.0,25,0,22.479126,0.886254
0.064,0.0667,0.0,21,0,24.072292,0.907564
0.065,0.0762,0.0,24,0,23.017317,0.8903
0.066,0.073,0.0,23,0,22.363447,0.886788
0.067,0.0889,0.0,28,0,20.884366,0.861569
0.068,0.0667,0.0,21,0,22.273287,0.880416
0.069,0.073,0.0,23,0,17.803123,0.839833
0.07,0.0857,0.0,27,0,23.555576,0.901352
0.071,0.0635,0.0,20,0,24.136948,0.907386
0.072,0.0698,0.0,22,0,21.28278,0.862703
0.073,0.0825,0.0,26,0,22.49688,0.885798
0.074,0.0794,0.0,25,0,22.351564,0.892206
0.075,0.0889,0.0,28,0,21.675299,0.879324
0.076,0.0794,0.0,25,0,21.9499,0.882908
0.077,0.0984,0.0,31,0,24.001283,0.901582
0.078,0.0825,0.0,26,0,22.450008,0.894557
0.079,0.0825,0.0,26,0,22.704963,0.896422
0.08,0.0857,0.0,27,0,21.857345,0.880303
0.081,0.0571,0.0,18,0,24.058757,0.921627
0.082,0.0635,0.0,20,0,25.319236,0.929273
0.083,0.0762,0.0,24,0,23.250476,0.898703
0.084,0.0762,0.0,24,0,23.555204,0.89872
0.085,0.1079,0.0,34,0,21.302636,0.867799
0.086,0.0889,0.0,28,0,23.726206,0.896741
0.087,0.0444,0.0,14,0,23.196247,0.892437
0.088,0.0984,0.0,31,0,22.753087,0.8956
0.089,0.0635,0.0,20,0,24.387033,0.912097
0.09,0.0825,0.0,26,0,23.327955,0.897491
0.091,0.0921,0.0,29,0,22.304996,0.885593
0.092,0.0857,0.0,27,0,22.304996,0.885593
0.093,0.0889,0.0,28,0,22.728731,0.898988
0.094,0.0984,0.0,31,0,22.839929,0.896458
0.095,0.1111,0.0,35,0,23.656248,0.902404
0.096,0.1079,0.0,34,0,22.367674,0.889382
