IBER,NIBER,IBN,NIBN,PSNR,SSIM
0.0,0.0,0.0,0.0,43.74033,0.985383
0.0032,0.0,1.0,0.0,31.324815,0.959042
0.0095,0.0,3.0,0.0,27.282246,0.955066
0.0063,0.0,2.0,0.0,29.073015,0.965899
0.019,0.0,6.0,0.0,24.246721,0.92294
0.0127,0.0,4.0,0.0,25.493714,0.939919
0.0159,0.0,5.0,0.0,28.080972,0.952265
0.0222,0.0,7.0,0.0,24.158898,0.914933
0.0254,0.0,8.0,0.0,23.806887,0.910672
0.0381,0.0,12.0,0.0,21.306439,0.882925
0.0286,0.0,9.0,0.0,24.273355,0.915674
0.0476,0.0,15.0,0.0,22.858818,0.896393
0.0413,0.0,13.0,0.0,24.348856,0.911977
0.0317,0.0,10.0,0.0,23.626313,0.908575
0.0349,0.0,11.0,0.0,23.463275,0.906024
0.054,0.0,17.0,0.0,23.219131,0.903967
0.0444,0.0,14.0,0.0,22.379958,0.898034
0.0857,0.0,27.0,0.0,22.31467,0.886791
0.0667,0.0,21.0,0.0,22.279663,0.891419
0.0508,0.0,16.0,0.0,19.659677,0.902828
0.0571,0.0,18.0,0.0,23.734452,0.90919
0.0635,0.0,20.0,0.0,24.443106,0.915219
0.0794,0.0,25.0,0.0,22.45741,0.888403
0.0603,0.0,19.0,0.0,23.183922,0.902184
0.0762,0.0,24.0,0.0,23.274332,0.895908
0.073,0.0,23.0,0.0,20.083285,0.863311
0.0889,0.0,28.0,0.0,22.25365,0.884156
0.0698,0.0,22.0,0.0,21.28278,0.862703
0.0825,0.0,26.0,0.0,22.744951,0.893567
0.0984,0.0,31.0,0.0,23.278267,0.898085
0.1079,0.0,34.0,0.0,21.683044,0.883968
0.0921,0.0,29.0,0.0,22.304996,0.885593
0.1111,0.0,35.0,0.0,23.656248,0.902404
0.1016,0.0,32.0,0.0,22.758554,0.891536
0.127,0.0,40.0,0.0,22.621141,0.890034
0.1016,0.0,32.0,0.0,21.808219,0.881943
0.1206,0.0,38.0,0.0,21.705577,0.890444
0.1175,0.0,37.0,0.0,21.718549,0.880196
0.1429,0.0,45.0,0.0,22.700858,0.893301
0.1365,0.0,43.0,0.0,22.687265,0.890233
0.1079,0.0,34.0,0.0,22.471181,0.884683
0.0921,0.0,29.0,0.0,20.712634,0.874372
0.146,0.0,46.0,0.0,22.491928,0.886628
0.1111,0.0,35.0,0.0,21.454705,0.887232
0.1143,0.0,36.0,0.0,23.058566,0.904489
0.1048,0.0,33.0,0.0,20.506313,0.875676
0.1714,0.0,54.0,0.0,23.6042,0.898661
0.1619,0.0,51.0,0.0,20.325844,0.875778
0.1492,0.0,47.0,0.0,22.316643,0.893325
0.1302,0.0,41.0,0.0,23.322916,0.898275
